Rank,Rapper,City,Region,Living/Deceased,Gender,Birth Year,Biggest Year,#1 Albums
1,Jay-Z,New York,East,Alive,Male,1969,1998,14
2,Kendrick Lamar,Compton,West,Alive,Male,1987,2012,4
3,Nas,New York,East,Alive,Male,1973,1996,6
4,Tupac,San Francisco,West,Deceased,Male,1971,1996,3
5,Eminem,Detroit,Midwest,Alive,Male,1972,2002,9
6,The Notorious BIG,New York,East,Deceased,Male,1972,1997,1
7,Lil Wayne,New Orleans,South,Alive,Male,1982,2008,5
8,Drake,Toranto,International,Alive,Male,1986,2011,13
9,Snoop Dogg,Long Beach,West,Alive,Male,1971,1993,3
10,Nicki Minaj,New York,East,Alive,Female,1982,2010,2
11,Kanye West,Chicago,Midwest,Alive,Male,1977,2005,10
12,Andre 3000,Atlanta,South,Alive,Male,1975,2003,1
13,Rakim,New York,East,Alive,Male,1968,1987,0
14,LL Cool J,New York,East,Alive,Male,1968,1987,0
15,J. Cole,Fayetteville,South,Alive,Male,1985,2014,6
16,Scarface,Houston,South,Alive,Male,1970,1997,1
17,50 Cent,New York,East,Alive,Male,1975,2003,2
18,Ice Cube,Compton,West,Alive,Male,1969,1988,2
19,Missy Elliott,Portsmouth,East,Alive,Female,1971,2002,0
20,Big Daddy Kane,New York,East,Alive,Male,1968,1989,0
21,DMX,New York,East,Deceased,Male,1970,1999,5
22,Ghostface Killah,New York,East,Alive,Male,1970,1997,1
23,Kurtis Blow,New York,East,Alive,Male,1959,1980,0
24,KRS-One,New York,East,Alive,Male,1965,1997,0
25,Method Man,New York,East,Alive,Male,1971,1997,1
26,Big Pun,New York,East,Deceased,Male,1971,2000,0
27,Q-Tip,New York,East,Alive,Male,1970,1996,2
28,Black Thought,Philadelphia,East,Alive,Male,1973,1999,0
29,Pusha T,Virginia Beach,East,Alive,Male,1977,2002,1
30,Lauryn Hill,South Orange,East,Alive,Female,1975,1998,2
31,Lil Kim,New York,East,Alive,Female,1974,1996,0
32,TI,Atlanta,South,Alive,Male,1980,2008,3
33,Busta Rhymes,New York,East,Alive,Male,1972,1997,1
34,Chuck D,New York,East,Alive,Male,1960,1988,0
35,Future,Atlanta,South,Alive,Male,1983,2015,8
36,Yasin Bey (Mos Def),New York,East,Alive,Male,1973,1999,0
37,Common,Chicago,Midwest,Alive,Male,1972,2005,1
38,Gucci Mane,Atlanta,South,Alive,Male,1980,2017,0
39,Ludacris,Atlanta,South,Alive,Male,1977,2001,4
40,Dr. Dre,Compton,West,Alive,Male,1965,1999,1
41,E-40,San Francisco,West,Alive,Male,1967,1995,0
42,Redman,Newark,East,Alive,Male,1970,1999,0
43,Bun B,Houston,South,Alive,Male,1973,1996,1
44,Queen Latifah,Newark,East,Alive,Female,1970,2004,0
45,Ice-T,Los Angeles,West,Alive,Male,1958,1988,0
46,Jadakiss,New York,East,Alive,Male,1975,1998,1
47,MC Lyte,New York,East,Alive,Female,1970,1996,0
48,Melle Mel,New York,East,Alive,Male,1961,1982,0
49,Rev. Run,New York,East,Alive,Male,1964,1986,0
50,Rick Ross,Miami,South,Alive,Male,1976,2006,5